action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id
change_to_left,False,False,False,False,True,True,False,True,True,keep,0.000999,3.858895778656006,21
change_to_left,False,False,False,False,True,True,False,True,True,swerve_left,0.001004703046781545,3.8219118118286133,21
change_to_left,False,False,False,False,True,True,False,True,True,swerve_right,0.0011323641295041124,3.8266725540161133,21
cruise,False,False,False,False,True,True,True,True,True,change_to_left,0.876182911500464,3.817066192626953,22
cruise,False,False,False,False,True,True,True,True,True,change_to_right,0.8794682154302009,3.856307029724121,22
cruise,False,False,False,False,True,True,True,True,True,cruise,1.0,2.861483097076416,22
cruise,False,False,False,False,True,True,True,True,True,keep,0.000999,3.8716297149658203,22
cruise,False,False,False,False,True,True,True,True,True,swerve_left,0.0010047109716175527,3.8360588550567627,22
cruise,False,False,False,False,True,True,True,True,True,swerve_right,0.0011323641295041124,3.8683371543884277,22
change_to_right,False,False,False,False,True,True,True,True,True,change_to_left,0.8761851943447784,3.8334686756134033,23
change_to_right,False,False,False,False,True,True,True,True,True,change_to_right,1.0,2.7922041416168213,23
change_to_right,False,False,False,False,True,True,True,True,True,cruise,0.21765734058310388,3.8193137645721436,23
change_to_right,False,False,False,False,True,True,True,True,True,keep,0.0009990000000000003,3.8999476432800293,23
change_to_right,False,False,False,False,True,True,True,True,True,swerve_left,0.0010047109716175527,3.8486289978027344,23
change_to_right,False,False,False,False,True,True,True,True,True,swerve_right,0.0011326605008226166,3.876910448074341,23
change_to_left,False,False,False,False,True,True,True,True,True,change_to_left,1.0,2.8221495151519775,24
change_to_left,False,False,False,False,True,True,True,True,True,change_to_right,0.8794689417589562,3.822355031967163,24
change_to_left,False,False,False,False,True,True,True,True,True,cruise,0.2176578657678253,3.8358147144317627,24
change_to_left,False,False,False,False,True,True,True,True,True,keep,0.0009989999999999999,3.8857438564300537,24
change_to_left,False,False,False,False,True,True,True,True,True,swerve_left,0.0010047129518007828,3.8557207584381104,24
change_to_left,False,False,False,False,True,True,True,True,True,swerve_right,0.0011323641295041124,3.8473362922668457,24
change_to_right,False,False,False,True,False,False,False,True,True,change_to_left,0.8762125671093897,3.8379476070404053,25
change_to_right,False,False,False,True,False,False,False,True,True,change_to_right,1.0,2.830409049987793,25
change_to_right,False,False,False,True,False,False,False,True,True,cruise,0.2212414977241502,3.862802267074585,25
change_to_right,False,False,False,True,False,False,False,True,True,keep,0.000999,3.8688149452209473,25
change_to_right,False,False,False,True,False,False,False,True,True,swerve_left,0.001004703046781545,3.8298251628875732,25
change_to_right,False,False,False,True,False,False,False,True,True,swerve_right,0.0011323641295041124,3.8437142372131348,25
change_to_left,False,False,False,True,False,False,False,True,True,change_to_left,1.0,2.882553815841675,26
change_to_left,False,False,False,True,False,False,False,True,True,change_to_right,0.8794812940393767,3.820770740509033,26
change_to_left,False,False,False,True,False,False,False,True,True,cruise,0.22124023978573232,3.803030490875244,26
change_to_left,False,False,False,True,False,False,False,True,True,keep,0.000999,3.8553903102874756,26
change_to_left,False,False,False,True,False,False,False,True,True,swerve_left,0.001004703046781545,3.815028190612793,26
change_to_left,False,False,False,True,False,False,False,True,True,swerve_right,0.0011323641295041124,3.8404300212860107,26
change_to_right,False,False,False,True,False,False,True,True,True,change_to_left,0.8762118124114471,3.8397490978240967,27
change_to_right,False,False,False,True,False,False,True,True,True,change_to_right,1.0,2.8134355545043945,27
change_to_right,False,False,False,True,False,False,True,True,True,cruise,0.22172813116393125,3.805504322052002,27
change_to_right,False,False,False,True,False,False,True,True,True,keep,0.000999,3.9312937259674072,27
change_to_right,False,False,False,True,False,False,True,True,True,swerve_left,0.0010043593732920544,3.855651617050171,27
change_to_right,False,False,False,True,False,False,True,True,True,swerve_right,0.0011323641295041124,3.8868284225463867,27
change_to_left,False,False,False,True,False,False,True,True,True,change_to_left,1.0,2.8176589012145996,28
change_to_left,False,False,False,True,False,False,True,True,True,change_to_right,0.8794809264040725,3.8422274589538574,28
change_to_left,False,False,False,True,False,False,True,True,True,cruise,0.22172743447487436,3.8144307136535645,28
